,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Arawak","Warekena (aa98) Phono","Aikhenvald, Alexandra 1998. Warekena. En: Desmond Derbishire & Geoffrey Pullum (eds.), Handbook of Amazonian Languages, vol. 4: 225-439. Berlín: Mouton de Gruyter.","wajuɺu",,"kadʰúili (hr01)",,,,,,"mápa","tsuɺema",,"púwe (hr01)",,"tsuwaɺa","kapísi (hr01)",,"maɺaju","tʃinu",,,,,"kúpʰe (hr01), ʃime",,,,,,,,,,"dáwi (hr01), waʃi",,,,,,,,,,,,,,,,,,"bukukuɺi","waɺu",,"apída  (hr01)",,,,,"áɺaɺi",,"waɺuti",,"mawaja, umeni",,,,"héma (hr01), ema",,"kuɺimaɺu",,"kuɺuwitu",,,,,,,,,,,,,,,,,,,,"éni",,,,,,,"
","
","
",,,,,
"Arawak","Warekena (aa98) Ortho","Person entering data: AP","wayuɺu",,"kadʰúili (hr01)",,,,,,"mápa","tsuɺema",,"púwe (hr01)",,"tsuwaɺa","kapísi (hr01)",,"maɺayu","tʃinu",,,,,"kúpʰe (hr01), ʃime",,,,,,,,,,"dáwi (hr01), waʃi",,,,,,,,,,,,,,,,,,"bukukuɺi","waɺu",,"apída  (hr01)",,,,,"áɺaɺi",,"waɺuti",,"mawaya, umeni",,,,"héma (hr01), ema",,"kuɺimaɺu",,"kuɺuwitu",,,,,,,,,,,,,,,,,,,,"éni",,,,,,,"
","
","
",,,,,
"Arawak","Yavitero (jm87) Phono","Mosonyi, Jorge Carlos, 1987 El idioma Yavitero, Caracas, Venezuela, 241 pages. ","wajútu",,"kai'manu",,"ka'wihitsu","manéľ̥i","jána","waju","maha",,,"huatsĩ (dp91)","tsitsárra",,"kahíľ̥i","hítsi","ma'tahiju","ku'aiľ̥i","mábulibuli","múna","patu (Spanish loan)",,"kuhási  (dp91), simasi",,"tsu'ida","mulúľ̥i",,"ku'kuwi",,,"buruľ̥ana","iwána","kuáiľ̥i",,"dúliu",,"aľ̥íjaha","jawílehe","mátsi",,"tsátsali",,"páka (loan)","tsuída",,"manití (Spanish loan)","a'ľamuľu",,"néwi","wanájali","ma'kuku","ku'ľi-kuľi","túhulu","ahija  (dp91)","uma  (dp91)","wála",,,"máli","káwiju","wamú, tsíkedali","ku'itu","u'meni",,,"matéti","kéma (dp91)","kamáta","sihú[li] (dp91), mata-'matu 'turtle'","jukúwe",,"ani",,"jatútsi",,,"awámi",,"kéni kahátsi","kahuľi",,"kumálala",,"tsutsubu","tetélu",,"túke, kukúwi",,"tsetse","karakólu","uľu","jahíwe","tuháli","tu'kutua"," ",,,"
","
","
",,,,,
"Arawak","Yavitero (jm87) Ortho","Person entering data: AP","wayútu",,"kai'manu",,"ka'wihic̷u","manéjli","yána","wayu","maha",,,"huatsĩ (dp91)","tsitsárra",,"kajíjli","jítsi","ma'tahiyu","ku'aiľ̥i","mábulibuli","múna","patu ",,"kuhási  (dp91), simasi",,"c̷u'ida","mulújli",,"ku'kuwi",,,"burujlana","iwána","kuáijli",,"dúliu",,"ajlíyaja","yawíleje","mátsi",,"tsátsali",,"páka (loan)","tsuída",,"manití (Spanish loan)","a'ľamuľu",,"néwi","wanáyali","ma'kuku","ku'ľi-kuľi","tújulu","ahija  (dp91)","uma  (dp91)","wála",,,"máli","káwiyu","wamú, tsíkedali","ku'itu","u'meni",,,"matéti","kéma (dp91)","kamáta","sihú[li] (dp91), mata-'matu 'turtle'","yukúwe",,"ani",,"yatútsi",,,"awámi",,"kéni kajátsi","kahuľi",,"kumálala",,"c̷uc̷ubu","tetélu",,"túke, kukúwi",,"c̷ec̷e",,"uľu","yajíwe","tujáli","tu'kutua",,,,"
","
","
",,,,,
"Arawak","Bare (aa95) Phono","Aikhenvald, Alexandra. 1995a. Baré. Munich: LINCOM Europa.",,,,,,,,,"mába",,,,,,,,,"tʃinu",,,,"hwíbudi","kubati",,,,,,,,,,"kwati",,,,,,"hmáɻadi",,,,"dápa",,,,,,,,,,,,,,,,,,,"kuíd'iju","mawaja",,"kuɻí",,,,"kuɻimáu 'turtle'",,"samorú",,"tibajuɻe",,,,"awádaɻi",,,"kátʰu",,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Arawak","Bare (aa95) Ortho","Person entering data: AP",,,,,,,,,"mába",,,,,,,,,"tʃinu",,,,"hwíbudi","kubati",,,,,,,,,,"kwati",,,,,,"hmáɻadi",,,,"dápa",,,,,,,,,,,,,,,,,,,"kuíd'iyu","mawaya",,"kuɻí",,,,"kuɻimáu 'turtle'",,"samorú",,"tibayuɻe",,,,"awádaɻi",,,"káthu",,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Arawak","Paresi (ab08) Phono","Brandao, Ana Paula","hekere",,"ijakare, kanomenare","menetse"," 'kota","menae","ijete 'tatu bola'","mahije","mahahuno","wazalitauna","mu'kuti"," 'fate","ka'lala","hawaretse","kahi"," 'idyi","zutyare","katʃolo","katʃolo kolohore",,"o'hajdju",,"kuhatse",,"mahatini","tikjure"," -","kukui 'gavião' (Kaxinitiː ko'koi)"," 'otjo"," --"," 'himeretse"," 'wijare","tʃini, ʃi'ni","tʃidjidjikaretse"," ??"," 'kuje","ka'lahi","kaˌmajka'hi","ma'late","wahakanure","i'tola"," 'uli"," 'θaha","niditsati"," 'kalu 'arara vermelha'",,"mutjure"," 'mene"," i'njai"," i'njai","waðerure 'coruja'","koloˈkute","mawijetse 'nambu chororo'"," 'hoðe",,"ko'lihu"," 'enore kawa'lone","tjalakwanatse","waka'la","ʃiˈwalo","ðaˈlore makaˈti","ðaˈnalo"," ˈuwi","katimalaˈlo"," ˈkuje kaloreθe","katsekereke 'comum', kuˈlinare 'original'","kutjuj"," 'muno","waθulahatja 'jabuti', ikjuˈre 'tartaruga'",,"uluhu","tumuhure'vespa que fica no chão', idjititi 'vespa q fica na arvore'",,"tuluˈmare",,,," ˈnawi 'anu preto', tserere 'anu branco'","θuθuhi ","meheˈre","walatata","tahaluwa 'barata'",,"waˈtaha","ˌmaihuˈtata","aljidi 'turu'"," ˈmidju","kalaˈtsero","ðakulukwa"," ˈwalɔ"," ˈðua",,"kohere"," ˈkali",,,,"
","
","
",,,,,
"Arawak","Paresi (ab08) Ortho","Person entering data: AP","hekere",,"iyakare, kanomenare","menetse"," 'kota","menae","iyete 'tato bola'","mahiye","mahahono","wazalitaona","mo'koti"," 'fate","ka'lala","hawaretse","kahi"," 'iri","zotyare","katxolo","katxolo kolohore",,"o'hairo",,"kohatse",,"mahatini","tikore"," -","kokoi 'gavião' (Kaxinitiː ko'koi)"," 'otyo"," --"," 'himeretse"," 'wiyare","txini, xi'ni","txiririkaretse"," ??"," 'koye","ka'lahi","kaˌmaika'hi","ma'late","wahakanore","i'tola"," 'oli"," 'zaha","niditsati"," 'kalo 'arara vermelha'",,"motyore"," 'mene"," i'nyai"," i'nyai","wazerore 'coroya'","koloˈkote","mawiyetse 'nambo chororo'"," 'hoze",,"ko'liho"," 'enore kawa'lone","tyalakwanatse","waka'la","xiˈwalo","zaˈlore makaˈti","zaˈnalo"," ˈowi","katimalaˈlo"," ˈkoye kaloreze","katsekereke 'comom', koˈlinare 'original'","kotyoy"," 'mono","wazolahatya 'jabuti', ikoˈre 'tartaruga'",,"oloho","tomohore'vespa que fica no chão', irititi 'vespa q fica na arvore'",,"toloˈmare",,,," ˈnawi 'anu preto', tserere 'ano branco'","zozohi ","meheˈre","walatata","tahalowa 'barata'",,"waˈtaha","ˌmaihoˈtata","alyidi 'toro'"," ˈmiro","kalaˈtsero","zakolokwa"," ˈwalo"," ˈzoa",,"kohere"," ˈkali",,,,"
","
","
",,,,,
"Arawak","Wapishana (ms95) Phono","Santos, Manuel Gomes dos . 2006. Uma gramática do Wapixana (Aruak): aspectos da fonologia, da morfologia e da sintaxe. Tese de doutorado. Campinas, SP: UNICAMP","sukuɽɨ",,"atuɽɨ",,,,"kapaʃi",,,,,"puata",,"bakɨɽ",,,"aɽu","aɽimaɽaka",,,"bai",,"kupaɨn",,"tʃibiʐaj",,,,,,,,"baɨɖukuɽɨ",,,,,,"maɽata",,,"kaʃu","uɽanɨ",,"kaʐaɽa",,,,,,,,,,,,,,,,,,"kuaʐaʐa","iʃaʐaɽɨ",,,"kudui",,"wɨɽada (jabuti)","tʃakui",,,,,,,,,,,,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Arawak","Wapishana (ms95) Ortho ","Person entering data: AP","sukuɽɨ",,"atuɽɨ",,,,"kapaʃi",,,,,"puata",,"bakɨɽ",,,"aɽu","aɽimaɽaka",,,"bai",,"kupaɨn",,"tʃibiʐaj",,,,,,,,"baɨɖukuɽɨ",,,,,,"maɽata",,,"kaʃu","uɽanɨ",,"kaʐaɽa",,,,,,,,,,,,,,,,,,"kuaʐaʐa","iʃaʐaɽɨ",,,"kudui",,"wɨɽada (jabuti)","tʃakui",,,,,,,,,,,,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Arawak","Wapishana wap IDS orthographic ",,,,"kʰanawaˀda; atʰurɨ",,,"generic ant: matʰɨ",,"tʰamarɨu","maˀbaˀdarɨ",,,"generic monkey: pʰuwatʰɨ",,,,,"aru","arimarakʰa",,"generic dolphin: pʰuuwa","ˀbai","kʰasumi",,,"kʰuwaiˀba",,"generic monkey: pʰuwatʰɨ","kʰara-kʰarari",,"generic monkey: pʰuwatʰɨ",,,,,,,,,,"generic monkey: pʰuwatʰɨ",,,,"nai",,,"kʰurii","yawari",,,"masuwikʰi","waru",,,,,,,,"ˀdɨˀdɨˀbaru; ẓiiẓiˀba",,"generic lizard: kʰuitʰu","generic snake: kʰuwaẓaẓ","generic snake: kʰuwaẓaẓ",,,,,"turtle: ˀdaẓau",,"watʰu","čʰimikʰiʔi",,,,,,,"pʰaẓaru","mapʰapʰaru","pʰišiˀbaʔi","ˀbašarau",,"uriˀdi",,,,,"kʰankʰurɨn","uwaɨ","suuwa","ˀdyɨɨˀbɨrɨ",,"frog: kʰiˀbaru",,,,"
","
","
",,,,,
"Arawak ","Wapishana wap IDS phonemic","Person entering data: KB",,,"kʰanawaˀda; atʰurɨ",,,"generic ant: matʰɨ",,"tʰamarɨu","maˀbaˀdarɨ",,,"generic monkey: pʰuwatʰɨ",,,,,"aru","arimarakʰa",,"generic dolphin: pʰuuwa","ˀbai","kʰasumi",,,"kʰuwaiˀba",,"generic monkey: pʰuwatʰɨ","kʰara-kʰarari",,"generic monkey: pʰuwatʰɨ",,,,,,,,,,"generic monkey: pʰuwatʰɨ",,,,"nai",,,"kʰurii","jawari",,,"masuwikʰi","waru",,,,,,,,"ˀdɨˀdɨˀbaru; ẓiiẓiˀba",,"generic lizard: kʰuitʰu","generic snake: kʰuwaẓaẓ","generic snake: kʰuwaẓaẓ",,,,,"turtle: ˀdaẓau",,"watʰu","tʃʰimikʰiʔi",,,,,,,"pʰaẓaru","mapʰapʰaru","pʰiʃiˀbaʔi","ˀbaʃarau",,"uriˀdi",,,,,"kʰankʰurɨn","uwaɨ","suuwa","ˀdyɨɨˀbɨrɨ",,"frog: kʰiˀbaru",,,,"
","
","
",,,,,
"Arawak","Mandawaka (hr01) Phono","Ramirez, Henri. 2001. Línguas Arawak da Amazônia setentrional: comparação e descrição. Manaus: Editora da Universidade","híʒi",,"kadíːɾi",,,,"dalíwa, adáːna (tatu-canastɾa)","hiʒíːɾi","má:ha",,,"huái",,,,,,"tʃíːnu",,,,"damái",,,"ʒíːtu",,,,,,,,"dáːwi",,,,,,"malaːi",,,"kéːsu","dáha","tsúida","adáːlu",,"íːɾi",,"inéwi",,,"wáːlu",,"ahiːda","umáːi",,,,,"mahíːɾi",,,,,"kulíːɾi",,"é:ma","káma",,"dáːse","wadúːli",,"kuíːʒi",,,,,,,,,,,,,,,,,,,"náːtuli",,,,,,"
","
","
",,,,,
"Arawak","Mandawaka (hr01) Ortho","Person entering data: AP","híʒi",,"kadíːri",,,,"dalíwa, adáːna (tatu-canastra)","hiʒíːri","má:ha",,,"huái",,,,,,"tʃíːnu",,,,"damái",,,"ʒíːtu",,,,,,,,"dáːwi",,,,,,"malaːi",,,"kéːsu","dáha","tsúida","adáːlu",,"íːri",,"inéwi",,,"wáːlu",,"ahiːda","umáːi",,,,,"mahíːri",,,,,"kulíːri",,"é:ma","káma",,"dáːse","wadúːli",,"kuíːʒi",,,,,,,,,,,,,,,,,,,"náːtuli",,,,,,"
","
","
",,,,,
"Arawak","Proto-Arawak",,"pʰɨkɨli  (dp91)",,"kasiu[kɨtʰɨ]",,,,"jeti",,"maba",,,"pʰudate",,,"kʰahpedi",,,,,,,,"kopaki",,,,,,,,,,"tsini",,,,,,,,,,,,,,"kɨhɨli",,,,,,,"ahbɨja","uma",,,,,,,,"apʰi",,,,"kema",,"sinpu[lɨ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Arawak","Proto-Japurá-Colombia",,,,"kajhui-li",,,,"jaʔi",,,,,"puwa(ʔ)i",,,"kapɨtsi",,,,,,,,"kupʰai",,,,,,,,,,"jawa-i",,,,,,,,,,,,,,"hii-li",,,,,,,"haapɨja-i",,,,,,,,,"ha(n)-pɨ",,,,"heema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
","
","
",,,,,
"Jivaro","Ashuar (orthographic)","Fast, Gerhard; Warkentin de Fast, Ruby and Fast, Daniel. 1996. Diccionario Shiwiar-Ashuar-Castellano. Serie Lingüística Peruana No. 36. Yarinacocha, ILV. ","káyuk, agutí","yungkíts","yantána, kaníats (black alligator)","pangkí, shukíim, puráu, yacumama","week","yutuí","shushuí, tuwi (small armadillo), séma (giant armadillo), yángkunt","nungkáim, jeéncham, jíncham, warásham, anchúmir, wajéng","wapás, yapás, chími (small bee), murúsh (black bee), masúat (bee to extract oil)","pangkí, yakuma pangkí (redish boa), ","maach, etékratin (irritating caterpillar)","michík, mirít","chiáchia (onopatopeyic?), marúpa nukúri (big cicada), míiruch (noisy cicada)","yangkipík, nangkipík, ","kúshi","mánchi, tingkisháp, tungkusháp, tíinchup",,"yawaa, tangkú yãwãã, áinmin (hunter dog), ","máing","apúup","pátu (domesticated duck) (Spanish loan), íkiam pátu (wild duck), patúya","sungkírum (not especified as electric)","namák achíkchamu","páits (paiche) (Spanish loan?)","sungkú","wishe wishe","chuu","kauta","ámich","yakúm","jémpe, jempetsées","súunti (eatable iguana)","yawaa, juun yawaa, shia shia (small jaguar)","yantána, antúcham, untúcham, shishím (black jungle cat)","chíwia",,"kapáwi, putirích",,,"wáshi","charákat","ungúmi, kapiúr","káshai","téma","kawáu (yellow macaw), yampúna (red macaw), ",,"katíp","kujáncham","uyu, iyu (not giant otter)","uyu, iyu ","púru, múwai","tíngku (with reddish wings), tuwísh (with blue neck), wármas (with yellow forehead), shiyáapay (speaker parrot)","waa, wáawa (small tinamou)","páki","páni, wapésha pani, wapúk pani","kúru",,,"táanta, pujúngaras,piámpia","kaap (small fly)","iyus","shampiú, takáras","nápi","makánch",,"kunám, kunámp, waiwásh","pamá, pamáu","kámau","kungkuím","tsukangká, pinínch, sháingkuap (with yellow breast), keruá (small toucan)","chiwiáng, chuwáng","éte","máshu","sawáke, taráshaam, tatásham",,"tsépi","tsére",,"námpich, pípik","shímpiampu, wámpang (giant blue butterfly)","kángkanchup","shurúk, chíchi (white cockoarch), tsárap (small cockroach)","chúngka, nukúch","yámpits, yápangkan, pupuí","ántantach, táatanch","saránchim, shiránchim, puntíish (big suri), muntíish (big suri)","misáp, yasáp","mámuk (of wood), kaya, séngka","titíng","kúngku (from soil), pukuáng, wawík (from water) tsúntsu","tsére, pétunch","tsentsármau","tsájip, muáash, píitui","""puwách, apái, súwi, purús, wánip, 
",,,,,,,,,,,
"Jivaro","Ashuar (phonemic)","Daniel","kajuk, aguti","juŋkits","jantana, kaniats","paŋki, ʃuki:m, purau, jakumama","wɯ:k","jutui","ʃuʃui, tũwi, sɯma, jaŋkunt ","nuŋkaim, xɯ:nʧam, xinʧam, waraʃam, antʃumir, waxɯŋ","wapas, japas, ʧimi, muruʃ, masuat","paŋki, jakuma paŋki","ma:ʧ, ɯtɨkratin","miʧik, mirit","ʧiaʧia, marupa nukuri, mi:ruʧ","jaŋkipʲik, naŋkipʲik","kuʧi","manʧi, tiŋkiʃap, tuŋkuʃap, ti:nʧup ","sikʲia:xa","jãwã:, taŋku jãwã:, ainmin","maiŋ","apu:p","patu, ikiam patu, patuja ","suŋkirum","namak aʧikʧamu","paits ","suŋku","wiʃɯ wiʃɯ","ʧu:","kãũta","amiʧ","jakum","xɯmpɯ, xɯmpɯtsɯ:s ","su:nti","jãwãa:, xu:n jãwã:, ʃĩã ʃĩã","jantana, antuʧam, untuʧam, ʃimʃim","ʧiwia",,"kapawi, putiriʧ",,,"waʃi","ʧarakat","ungumi, kapiur","kaʃai","tɯma","kawau, jampuna",,"katip","kuxanʧam","ujũ, ijũ","ujũ, ijũ","puru, muwai","tiŋku, tuwiʃ, warmas, ʃija:pay   ","wa:, wa:wa","paki","pani, wapɯʃa pani, wapuk pani","kuru",,,"ta:nta, puxungaras, piampia","kã:p","ĩjũs","ʃampiu, takaras","napi","makanʧ",,"kunam, kunamp, waiwaʃ","pama, pamau","kamau","kuŋkuim","tsukaŋka, piniʧ, ʃaiŋkuap, kɯrua","ʧiwiaŋ, ʧuwaŋ ","ɯtɯ","maʃu","sawakɯ, taraʃa:m, tataʃam",,"tsɯpi","tsɯrɯ",,"nampiʧ, pipik","ʃimpiampu, wampaŋ","kaŋkanʧup","isu:ja ʃuruk, ʧiʧi, tsarap","ʧuŋka, nukuʧ","jampits, japaŋkan,pupui ","antataʧ, ta:tanʧ ","saranʧim, ʃiranʧim, munti:ʃ","misap, jayap","mamuk, kãyã ","titing","kuŋku, pukuaŋ, wawik, tsuntsu","tsɯrɯ, pɯtuntʃ","tsɯntsarmau","tsajip, mũa:ʃ, pi:tui  ","""puwaʧ, apai, suwi, purus, wanip
",,,,,,,,,,,
"Jivaro","Huambisa (orthographic)","Jakway, Martha (recop.). 1987 (2nd.ed.). Vocabulario huambisa.Serie Lingüística peruana no. 24 Lima, ILV.","kayuk","yagkits","uun yantana (yantana=lagarto)","wichi pagki (wichi=submerged piece of wood; pagki=snake","week","yutui","shushui","jeencham","napa","shukuim",,,"chiachia (onomatopeyic?)","yagkipik","kushi","manchi","japa","yawa",,"apuup","patu (Spanish loan)","tsugkirum","namak","paich (loan?)","sugku","wishiishi","chuu","ukukui",,,"ukuchkit","suuntai","uun yawa (yawa=dog; uun=?)","untucham","chiwa","kunchi","paumit (loan?)","kugkui","aunts",,"charakat","ugkumia","kashai","tema","yampuna, chaak, yusa",,"tagkajak","kujancham",,"uuyu","kau","awarmas","waa","uun paki","paani","kuru",,"shakua","taanta",,"naki","shampi","napi","muash napi (napi=snake; muash?), kakanch",,"kunam","pama","kama","kugkuim","shaartik","chuag","ete","mashu","sawake",,"tseem",,,"nampich","wampishuk","kagkanch","chirap","urik","wampau, yampits","entsach","mukin","yantsa",,"titig","churu, pukuang, ","tsere","kaashap","piitai","takash
",,,,,,,,,,,
"Jivaro","Huambisa (phonemic)","Daniel","kajuk","jaŋgkits","u:n jantana","witʃi paŋgki","wɨ:k","jutui","ʃuʃui","xɨ:ntʃam","napa","ʃukuim",,,"tʃiatʃia","jaŋkipik","kuʃi","mantʃi","xapa","jawa",,"apu:p","patu","tsuŋgkirum","namak","paitʃ","suŋku","wiʃi:ʃi","tʃu:","ukukui",,,"ukutʃkit","su:ntai","u:n jawa","untutʃam","tʃiwa","kuntʃi","paumit","kuŋgkui","aunts",,"tʃarakat","uŋgkumia","kaʃai","tɨma","jampuna, tʃa:k, jusa ",,"taŋgkaxak","kuxantʃam",,"u:ju","kau","awarmas","wa:","u:n paki","pa:ni","kuru",,"ʃakua","ta:nta",,"naki","ʃampi","napi","muaʃ napi, kakanch",,"kunam","pama","kama","kuŋgkuim","ʃa:rtik","tʃuag","ɨtɨ","maʃu","sawakɨ",,"tsɨ:m",,,"nampitʃ","wampiʃuk","kaŋkantʃ","tʃirap","urik","wampau, jampits","ɨntsatʃ","mukin","jantsa",,"titiŋg","tʃuru, pukuaŋg","tsɨrɨ","ka:ʃap","pi:tai","takaʃ
",,,,,,,,,,,
"Jivaro","Aguaruna (orthographic)","Wipio, Gerardo (recop.). (1996). Diccionario aguaruna-castellano, castellano-aguaruna.ILV, Lima.","káyuk(a)",,"semágkau","págki","weéka","yutúi","shushúi","jiíncham","dápa","wapú","bága, sápi",,"chiáchia (onopatopeyic?)","yugkipák","kúshi","mánchi","jápa, yuwíchu","yawá","putúkam","apuúpu","pátu (Spanish loan)","jagkíya, nampichichiáu","namák(a)",,"súgku","wishiíshi","chúu","chikiwí","wágkantsau",,"jémpe","iwán (loan?)","puágkat","untúcham","chíwa",,"paumít (Spanish loan?)","kugkúi","aúnts","wáshi","cháji","ugkubíu","káshai","téma","yúsa, shaámak",,"katíp","kujáncham",,"úyu","ampúsh","kawáu","wága","páki","páni","kúju","tukágmanchis",,"untúju, yawakám",,"uyúsh","shampíu","dápi","bakánchi",,"kunám(pe)","pabáu","kábau","kugkúim","piígsha","káasip","éte","báshu",,"kujáncham",,,,"námpichi","wámpishuk","kiíwi","tukajách","punúk","yámpitsa","ántantach","dukúch","taigkák",,"titígki","tejés, kúgku","tséatsea","kaáshap","piiti","takásh
",,,,,,,,,,,
"Jivaro","Aguaruna (phonemic)","Daniel","kájuk(a)",,"sɨmángkau","pángki","wɨ:ka","jutúi","ʃuʃúi","xi:ntʃam","dápa","wapú","bága, sápi",,"tʃiátʃia","jungkipák","kúʃi","mántʃi","xápa, juwítʃu ","jawá","putúkam","apu:pu","pátu","xangkíja, nampitʃitʃiáu","namák(a)",,"súngku","wiʃi:ʃi","tʃúu","tʃikiwí","wángkantsau",,"xɨmpɨ","iwán","puángkat","untútʃam","tʃíwa",,"paumít",,"aúnts","wáʃi","tʃáxi","ungkubíu","káʃai","tɨma","júsa, ʃa:mak",,"katíp","kuxántʃam",,"úju","ampúʃ","kawáu","wága","páki","páni","kúxu","tukángmantʃis",,"untúxu, yawakám",,"ujúʃ","ʃampíu","dápi","bakántʃi",,"kunám(pe)","pabáu","kábau","kungkuím","pi:ngʃa","ká:sip","ɨtɨ","báʃu",,"kuxámtʃam",,,,"námpitʃi","wámpiʃuk","ki:wi","tukaxátʃ","punúk","jámpitsa","ántantatʃ","dukútʃ","taignkák",,"titíngki","tɨxɨs, kúngku ","tsɨatsɨa","ka:ʃap","pi:ti","takáʃ
",,,,,,,,,,,
"Quechua","Quechua del Pastaza (Orthographic)","Landerman, Peter. (2008, 2nd. ed.). Vocabulario Quechua del Pastaza. ILV, Yarinacocha.",,,"lagartu (Spanish loan)","yacumama",,"yana curu","armalillu (Spanish loan)","tuta pishcu (pishcu=ave; tuta?)","sisimba","cutu yacumana (cutu= coto mono; yacumana=boa)",,"machin",,"cawcuma","tijun","chilic","cuyapisi","allcu","sacha allcu (sacha=monte)",,"patu (Spanish loan)",,"challwa","paytsi (loan?)","piqui","wangana pillan (wangana=huangana (loan); pillan=?), wawniru","churu (Spanish loan?)","anga",,,"pusisi","ayambi","puma (Spanish loan)",,,,"capawari","pashin","caruntsi","chuwa",,"ungu mayu","majás (loan)","usa","wacamaya (loan)",,"ucucha",,,"nutri (loan)","curcucu",,"pirtis (Spanish loan), yutu","wangana (loan)","paña","tuyuru",,,,,"sivi",,,"pitalala",,"waywashi","sacha wagra (Spanish loan)",,"turtuca (Spanish loan)","sicwanga","ullawanga","avispa (Spanish loan)","pawshi",,,,,,"cuyca","maripusa (Spanish loan)","sintupí (Spanish loan)","pucaracha (Spanish loan)","apangura","pishcu","pundish mama (mama=mother; pundish?","tucu","nina curu (nina=fire; curu?)",,,,,"raya (Spanish loan)","ipitara","sapu (Spanish loan)
",,,,,,,,,,,
"Quechua","Quechua del Pastaza (Phonemic)","Daniel",,,"lagaɾtu","jakumama",,"jana kuɾu","aɾmaliʎu","tuta piʃku","sisimba","kutu jakumama",,"matʃin",,"kawkuma","tixun","tʃilik","kujapisi","aʎku","satʃa aʎku",,"patu",,"tʃaʎwa","pajtsi","piki","wangana piʎan, wawniɾu ",,"anga",,,"pusisis","ajambi","puma",,,,"kapawaɾi","paʃin","kaɾuntsi","tʃuwa",,"ungu maju","maxas",,"wakamaja",,"ukutʃa",,,"nutɾi","kuɾkuku",,"piɾtis, jutu","wangana","paɲa","tujuɾu",,,,,"sibi",,,"pitalala",,"waywaʃi","satʃa wagɾa",,"tuɾtuka","sikwanga","uʎawanga","abispa","pawʃi",,,,,,"kuyka","maɾipusa","sintupi","pukaratʃa","apanguɾa","piʃku","pundiʃ mama","tuku","nina kuɾu",,,,,"ɾaja","ipitara","sapu
",,,,,,,,,,,
"Quechua","Inga (orthographic)","Tandioy, Domingo, Stephen Levinsohn and Alonso Maffla (comp). 1997. Diccionario Inga-Español.",,"kui",,,,,"matiwaja","chimbilaku","abijun (Spanish loan)",,"chini kuku/kuru, ubijita",,"chapuli","saíno (loan?)",,,"taruka, chuntaruku","alku","sach alku",,"iaku pato (wild duck) (Spanish loan)",,"chalwa",,"piki",,,"animas pisku, ilili",,,"kindi",,,"sacha misitu",,,,,,,,,,,,,"ukucha",,,"iaku alku (iaku=water, river;alku=dog)","kuskungu, killa mama (killa=moon; mama=mother)","uritu (Spanish loan?)","atawalpa",,,"michichin",,,,,,,"amarun",,,"ardita (Spanish loan)","sacha wagra (Spanish loan)",,,"pikudu (Spanish loan?)","kurikingi",,,,,,,,"murkilla",,"pasag chakiiung",,"kangariju (Spanish loan)",,,,"nina kuru",,,"churu",,,,"tilili, wambui
",,,,,,,,,,,
"Quechua","Inga (phonemic)","Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,
